lang,level,topic_en,question
Italian,B1,how you'd describe your ideal weekend to a friend,Come descriveresti il tuo weekend ideale a un amico?
Italian,B1,a decision you're proud of,Di quale decisione che hai preso sei particolarmente orgoglioso/a?
Italian,B1,your typical breakfast,Cosa mangi e bevi di solito a colazione?
Italian,B1,what you had for breakfast,Cosa hai mangiato per colazione stamattina?
Italian,B1,your favorite way to spend a rainy day,Come preferisci passare una giornata di pioggia?
Italian,B1,how you spent last weekend,Cosa hai fatto lo scorso fine settimana?
Italian,B2,your best friend,Come descriveresti il tuo migliore amico in una parola?
Italian,B2,something you'd like to change about your daily routine,"Se potessi cambiare una cosa della mia routine quotidiana, quale sarebbe?"
Italian,B2,something you used to believe but don't anymore,Credevo che fosse possibile imparare una nuova lingua dormendo.
Italian,B2,how you'd describe your ideal weekend to a friend,"Se potessi scegliere, come descriveresti il tuo weekend ideale ad un amico?"
Italian,B2,what you had for breakfast,Cosa hai mangiato a colazione questa mattina?
Italian,B2,your favorite season and why,Qual è la tua stagione preferita e perché ti piace così tanto?
Italian,B2,your favorite sport,Qual è lo sport che ti appassiona di più e perché?
Italian,B2,your family,Quante persone ci sono in totale nella tua famiglia allargata?
Italian,B2,what are your plans for today,Cosa hai in programma di fare oggi?
Italian,B2,your favorite way to spend a rainy day,Come preferisci trascorrere una giornata piovosa?
Italian,B2,your favorite place to eat,Qual è il tuo posto preferito dove mangiare e cosa ti piace ordinarci solitamente?
Italian,B2,a game you enjoy playing,Qual è un gioco che ti appassiona e perché ti piace così tanto?
Italian,C1,something that made you happy recently,Cosa ti ha reso particolarmente felice questa settimana?
Italian,C1,the room you are in right now,Di che colore sono le pareti della stanza in cui ti trovi adesso?
Italian,C1,your hobbies,Quali attività ricreative ti appassionano maggiormente e in che modo ti aiutano a staccare dalla routine quotidiana?
Italian,C1,your favorite holiday,Qual è la tua festività preferita e perché rende le tue celebrazioni uniche?
Italian,C1,what you usually do after work or school,Cosa suoli fare tipicamente una volta terminata la tua giornata lavorativa o scolastica?
Italian,C1,your plans for the weekend,Cosa hai in programma per il prossimo fine settimana?
Italian,C1,your favorite color and why,Qual è il tuo colore preferito e per quale ragione lo scegli?
Italian,C1,how your city has changed over the years,"Come è cambiato il volto della tua città negli ultimi decenni, a tuo parere?"
Italian,C1,your favorite place to eat,Qual è il tuo ristorante preferito in Italia e perché lo scegli tra tanti?
Italian,C1,your favorite food,Qual è il piatto della cucina italiana che ti emoziona di più e perché?
Italian,C1,your daily routine,"Potresti descrivermi la tua routine mattutina ideale, dal risveglio fino all'inizio delle tue attività principali?"
Italian,C1,what you had for breakfast,Cosa hai consumato per colazione stamattina?
Italian,C2,what are your plans for today,"Che programmi hai in serbo per questa giornata, se non sono troppo indiscreto?"
Italian,C2,your family,"Se dovessi descrivere la dinamica familiare che ti ha plasmato, quali archetipi ricorrenti o dinamiche interpersonali sottolineeresti per spiegarne l'essenza?"
Italian,C2,what did you do yesterday,"Ieri, avresti potuto raccontarmi in dettaglio come hai organizzato l'incontro con i tuoi collaboratori stranieri, includendo le sfide linguistiche che prevedevi di affrontare?"
Italian,C2,a skill you'd like to learn,"Se potessi acquisire una nuova abilità istantaneamente, cosa sceglieresti di imparare per arricchire la tua prospettiva sul mondo?"
Italian,C2,how you'd describe your ideal weekend to a friend,"Se dovessi descrivere il tuo fine settimana ideale a un amico, quali aggettivi utilizzeresti per dipingerne l'essenza?"
Italian,C2,a recent trip or a place you'd like to visit,Qual è l'esperienza più inaspettata che ti ha segnato profondamente durante il tuo ultimo viaggio all'estero?
Italian,C2,how you get around your city,"Considerando la sua posizione e le mie abitudini, quali mezzi di trasporto integrerebbe maggiormente per spostarsi efficientemente in città?"
Italian,C2,your favorite place to eat,Quale piatto specifico ti fa tornare sempre in quel tuo posto preferito dove gustare la cucina italiana?
Italian,C2,your favorite time of year,Qual è il tuo periodo dell'anno preferito e perché è quello che ti affascina di più?
Italian,C2,your favorite sport,"Se ti fosse data la possibilità di dedicarti interamente a uno sport per un anno intero, senza alcuna limitazione finanziaria o logistica, quale sceglieresti e perché quell'attività ti cattura così profondamente?"
Italian,C2,a language you'd like to speak,"Se potessi padroneggiare una lingua straniera istantaneamente, quale sceglieresti e perché ti affascina tanto?"
Italian,C2,something you used to believe but don't anymore,"Ricordi qualcosa in cui credevi fermamente da bambino, ma che ora trovi del tutto assurdo?"
Polish,A1,how are you today,Jak się masz dzisiaj?
Polish,A1,something that made you happy recently,Co ostatnio sprawiło Ci radość?
Polish,A1,a movie or show you watched recently,Oglądałeś ostatnio fajny film?
Polish,A1,a book you like,Lubisz tę książkę?
Polish,A1,a game you enjoy playing,Lubisz grać w szachy?
Polish,A1,your favorite way to relax,Jak lubisz się relaksować?
Polish,A1,a recent trip or a place you'd like to visit,Gdzie chcesz pojechać w wakacje?
Polish,A1,your favorite way to spend a rainy day,"Co robisz najchętniej, gdy pada deszcz?"
Polish,A1,your favorite sport,Jaki jest Twój ulubiony sport?
Polish,A1,your job or studies,Jestem studentem.
Polish,A1,how you get around your city,Jak przemieszczasz się po swoim mieście?
Polish,A1,your favorite holiday,Jaka jest Twoja ulubiona Wigilia?
Polish,A2,a language you'd like to speak,Jakiego języka chciał(a)byś się nauczyć?
Polish,A2,how you get around your city,Jak poruszasz się po swoim mieście?
Polish,A2,what you had for breakfast,Co jadłeś dzisiaj na śniadanie?
Polish,A2,your favorite way to relax,Jak lubisz się najbardziej relaksować?
Polish,A2,your favorite sport,Jaki jest Twój ulubiony sport?
Polish,A2,your favorite season and why,Która jest Twoja ulubiona pora roku i dlaczego?
Polish,A2,how you spent last weekend,Jak spędziłeś/spędziłaś ostatni weekend?
Polish,A2,the last gift you gave someone,"Jaki był ostatni prezent, który komuś dałaś/dałeś?"
Polish,A2,your favorite holiday,Jaki jest Twój ulubiony świąteczny przysmak?
Polish,A2,something that made you happy recently,Co ostatnio sprawiło Ci radość?
Polish,A2,what are your plans for today,Jakie masz dzisiaj plany?
Polish,A2,how are you today,Jak się dzisiaj masz?
Polish,B1,your favorite color and why,Jaki jest twój ulubiony kolor i dlaczego go lubisz?
Polish,B1,your favorite season and why,Która jest twoją ulubioną porą roku i dlaczego?
Polish,B1,your neighborhood,Czy w twojej okolicy jest park?
Polish,B1,what you usually do after work or school,Co zazwyczaj robisz po pracy lub szkole?
Polish,B1,how you spent last weekend,Jak spędziłeś ubiegły weekend?
Polish,B1,a challenge you overcame recently,Jakie wyzwanie ostatnio udało Ci się pokonać?
Polish,B1,how you'd describe your ideal weekend to a friend,Jaki jest Twój idealny weekend w jednym zdaniu?
Polish,B1,your favorite sport,Jaki jest Twój ulubiony sport?
Polish,B1,your favorite holiday,Jaki jest Twój ulubiony polski zwyczaj związany z Bożym Narodzeniem?
Polish,B1,your favorite way to relax,"Co najbardziej lubisz robić, żeby się zrelaksować?"
Polish,B1,something that made you happy recently,Co ostatnio sprawiło Ci największą radość?
Polish,B1,your favorite type of music to relax to,"Jakiego rodzaju muzyki najchętniej słuchasz, żeby się zrelaksować?"
Polish,B2,your favorite place to eat,Jaka jest twoja ulubiona restauracja w mieście i dlaczego właśnie tam najchętniej jesz?
Polish,B2,the biggest difference between your hometown and a big city,Jaka jest największa różnica między twoim rodzinnym miastem a wielkim miastem?
Polish,B2,a book you like,"Jakie są twoje ulubione tematy poruszane w książkach, które ostatnio czytałeś?"
Polish,B2,your favorite type of music to relax to,"Jaki gatunek muzyki najchętniej słuchasz, żeby się zrelaksować?"
Polish,B2,the room you are in right now,"Co widzisz w pokoju, w którym teraz jesteś?"
Polish,B2,describe something you can see around you,Co widzisz przez okno?
Polish,B2,how your city has changed over the years,Jakie największe zmiany zauważyłeś/aś w naszym mieście na przestrzeni ostatnich dwudziestu lat?
Polish,B2,how technology has changed the way you learn,"Jak technologia zmieniła sposób, w jaki się uczysz?"
Polish,B2,your favorite way to spend a rainy day,Jak najchętniej spędzasz deszczowy dzień?
Polish,B2,your family,Czy często odwiedzacie swoją dalszą rodzinę?
Polish,B2,how many people are in your family,Ile osób liczy twoja rodzina?
Polish,B2,a movie or show you watched recently,"Jakie były Twoje wrażenia po obejrzeniu ostatniego odcinka serialu, który śledziłeś?"
Polish,C1,your favorite sport,Jakie są Twoje ulubione dyscypliny sportowe i dlaczego właśnie one zajmują specjalne miejsce w Twoim sercu?
Polish,C1,what did you do yesterday,Co robiłeś wczoraj?
Polish,C1,how many people are in your family,Ile osób liczy Twoja rodzina?
Polish,C1,your family,Jakie są Wasze rodzinne plany na najbliższe wakacje?
Polish,C1,a pet you have or would like to have,"Jaką rasę psa byś wybrał/wybrała, gdybyś mógł/mogła mieć zwierzę o wyjątkowo spokojnym temperamencie, ale jednocześnie wymagające regularnej aktywności fizycznej na świeżym powietrzu?"
Polish,C1,something you'd like to change about your daily routine,"Co chciał(a)byś usprawnić w swojej codziennej rutynie, żeby mieć więcej wolnego czasu?"
Polish,C1,a skill you'd like to learn,"Jaką nową umiejętność chciał(a)byś opanować w najbliższym czasie, aby wzbogacić swoje życie zawodowe lub osobiste?"
Polish,C1,your plans for the weekend,Jakie masz plany na najbliższy weekend?
Polish,C1,a mistake you learned something from,"Jakiego błędnego przekonania, którego się pan/pani nauczył/nauczyła, żałuje pan/pani najbardziej?"
Polish,C1,your typical breakfast,Co zazwyczaj jesz na śniadanie w typowy dzień powszedni?
Polish,C1,"what makes a good leader, in your opinion","Co według Pana/Pani stanowi o tym, że ktoś jest dobrym przywódcą?"
Polish,C1,your job or studies,Jakie są największe wyzwania związane z uczeniem się języka polskiego dla osób spoza Europy?
Polish,C2,what your life might look like in five years,"Jak wyobrażasz sobie swoje życie za pięć lat, biorąc pod uwagę obecne tendencje rozwojowe w dziedzinie sztucznej inteligencji i jej potencjalny wpływ na rynek pracy?"
Polish,C2,what you would do with an unexpected day off,"Gdyby niespodziewanie zyskał Pan/Pani dodatkowy dzień wolny, co by Pan/Pani z nim zrobił/zrobiła?"
Polish,C2,how you spent last weekend,"Jak spędziłeś ostatni weekend, delektując się wyrafinowaną kuchnią i zgłębiając arkana lokalnej kultury?"
Polish,C2,your favorite way to spend a rainy day,"Jak najbardziej lubisz spędzać deszczowe popołudnia, gdy za oknem plucha i złowrogi nieboskłon?"
Polish,C2,your favorite color and why,"Gdybyś miał wybrać jeden ulubiony kolor, który by to był i co w nim najbardziej cenisz?"
Polish,C2,your hobbies,Jakie niekonwencjonalne metody eksplorujesz w ramach swojego niedawno odkrytego zainteresowania archeologią amatorską?
Polish,C2,your neighborhood,"Jakie niezwykłe inicjatywy społeczne lub ekologiczne działają w Pańskiej okolicy, których istnienie wykracza poza zwyczajowe ramy sąsiedzkiej współpracy?"
Polish,C2,a skill you'd like to learn,"Gdybyś mógł nauczyć się jednej nowej umiejętności na najwyższym poziomie, co by to było?"
Polish,C2,your favorite sport,Co uważasz za najbardziej widowiskowy aspekt tenisa ziemnego w kontekście strategicznej głębi tej dyscypliny?
Polish,C2,something that made you happy recently,Co ostatnio sprawiło Ci najwięcej radości i dlaczego?
Polish,C2,your favorite place to eat,"Gdzie w Polsce najbardziej lubisz jeść, gdy masz ochotę na coś naprawdę wyjątkowego?"
Polish,C2,what did you do yesterday,"Co wczoraj poczyniłeś, by uczynić swoje życie bardziej wartościowym?"
Russian,A1,your favorite color and why,Какой твой любимый цвет и почему?
Russian,A1,what you usually do after work or school,Что ты обычно делаешь после работы?
Russian,A1,your favorite type of music to relax to,"Какую музыку ты любишь слушать, чтобы расслабиться?"
Russian,A1,your favorite place to eat,Где ты любишь кушать?
Russian,A1,a pet you have or would like to have,У вас есть собака?
Russian,A1,your morning routine,Что ты делаешь утром?
Russian,A1,your favorite app or website,Какое твоё любимое приложение?
Russian,A1,how you spent last weekend,Как ты провёл прошлые выходные?
Russian,A1,your favorite way to spend a rainy day,Как ты любишь проводить дождливый день?
Russian,A1,a skill you'd like to learn,Что бы ты хотел(а) научиться делать?
Russian,A1,your daily routine,Что ты делаешь утром?
Russian,A1,how are you today,Как дела сегодня?
Russian,A2,your favorite way to spend a rainy day,Как ты любишь проводить дождливый день?
Russian,A2,your best friend,Расскажи мне о своём лучшем друге.
Russian,A2,a movie or show you watched recently,"Ты смотрел новый фильм, который недавно вышел?"
Russian,A2,how are you today,Как ты сегодня?
Russian,A2,how many people are in your family,Сколько человек в вашей семье?
Russian,A2,something that made you happy recently,Что тебя недавно очень порадовало?
Russian,A2,your typical breakfast,Что ты обычно ешь на завтрак?
Russian,A2,how you get around your city,Как вы обычно передвигаетесь по городу?
Russian,A2,your favorite holiday,Какой ваш любимый праздник?
Russian,A2,your daily routine,Что ты делаешь утром?
Russian,A2,what you had for breakfast,Что ты ел на завтрак?
Russian,A2,your favorite time of year,Какое ваше любимое время года?
Russian,B1,what you would do if you had more free time,"Если бы у вас было больше свободного времени, чем бы вы занялись?"
Russian,B1,how you spent last weekend,Как вы провели прошлые выходные?
Russian,B1,what you usually do after work or school,Чем ты обычно занимаешься после работы или учёбы?
Russian,B1,your favorite time of year,Какое ваше любимое время года и почему?
Russian,B1,a challenge you overcame recently,С каким вызовом ты столкнулся недавно?
Russian,B1,the room you are in right now,Какого цвета стены в этой комнате?
Russian,B1,your neighborhood,Какие у вас есть любимые места в вашем районе?
Russian,B1,a skill you'd like to learn,Какой новый навык ты бы хотел(а) освоить?
Russian,B1,your favorite type of music to relax to,Какая твоя любимая музыка для отдыха?
Russian,B1,your family,"Расскажите, пожалуйста, кто есть в вашей семье."
Russian,B1,a piece of advice someone gave you that stuck,"Какой тебе дали совет, который ты запомнил?"
Russian,B1,a mistake you learned something from,О какой своей ошибке вы узнали что-то новое?
Russian,B2,your morning routine,Как ты обычно начинаешь своё утро?
Russian,B2,what are your plans for today,Какие у вас планы на сегодняшний день?
Russian,B2,what your life might look like in five years,Как ты видишь свою жизнь через пять лет?
Russian,B2,your job or studies,Какая часть вашей работы или учёбы вам кажется самой интересной?
Russian,B2,your favorite food,Какое ваше самое любимое блюдо?
Russian,B2,your favorite app or website,Какое ваше любимое приложение для изучения новых слов и почему?
Russian,B2,your favorite type of music to relax to,"Какую музыку ты любишь слушать, чтобы расслабиться?"
Russian,B2,a movie or show you watched recently,"Какое последнее кино или сериал вы смотрели, который вас действительно впечатлил?"
Russian,B2,a decision you're proud of,"Какое решение в своей жизни вы приняли, которым особенно гордитесь?"
Russian,B2,what you usually do after work or school,Чем вы обычно занимаетесь после работы или учёбы?
Russian,B2,something you'd like to change about your daily routine,Что бы вы хотели изменить в своём ежедневном распорядке дня?
Russian,B2,something you used to believe but don't anymore,"Раньше я думал, что лето самое лучшее время года, но теперь я так не считаю."
Russian,C1,your favorite music,Какую музыку вы находите наиболее вдохновляющей в последнее время?
Russian,C1,the biggest difference between your hometown and a big city,"В чём, на Ваш взгляд, главное отличие вашего родного города от мегаполиса?"
Russian,C1,a piece of advice someone gave you that stuck,"Какой совет, данный тебе, ты запомнил на всю жизнь?"
Russian,C1,your favorite type of music to relax to,Какая музыка помогает вам лучше всего расслабиться после долгого дня?
Russian,C1,a game you enjoy playing,"В какую игру ты любишь играть, чтобы отвлечься от повседневных забот?"
Russian,C1,the last gift you gave someone,"Какой подарок вы подарили в последний раз, и что вас вдохновило на его выбор?"
Russian,C1,your neighborhood,Как бы вы описали идеальное место для жизни в вашем районе?
Russian,C1,a recent trip or a place you'd like to visit,Какое ваше самое запоминающееся впечатление от недавней поездки в Европу?
Russian,C1,how you get around your city,Как вы обычно передвигаетесь по городу?
Russian,C1,your best friend,"Расскажи, пожалуйста, о самом запомнившемся поступке твоего лучшего друга."
Russian,C1,your favorite season and why,Какое ваше любимое время года и почему?
Russian,C1,your favorite app or website,Какое приложение или сайт вы чаще всего используете для поиска новой музыки?
Russian,C2,a tradition from your country you'd explain to a foreigner,"Каким образом, по вашему мнению, можно наилучшим образом донести до иностранца глубинный смысл масленичных гуляний, выходящий за рамки простого празднования проводов зимы?"
Russian,C2,a skill you'd like to learn,"Какие новые навыки вы хотели бы освоить, чтобы ещё глубже погрузиться в тонкости русской культуры и истории?"
Russian,C2,what you would do with an unexpected day off,Как бы вы провели неожиданно выпавший выходной день?
Russian,C2,how you'd describe your ideal weekend to a friend,"Представь, что ты рассказываешь другу об идеальных выходных: как бы ты одним предложением описал(а) своё идеальное времяпрепровождение?"
Russian,C2,what did you do yesterday,Что вчерашнего дня вы можете назвать самым запоминающимся событием?
Russian,C2,your favorite place to eat,"Какое ваше любимое заведение, где можно отведать изысканные блюда русской кухни, и почему именно оно занимает особое место в ваших гастрономических предпочтениях?"
Russian,C2,your favorite food,"Какое блюдо русской кухни вы бы назвали своим абсолютным фаворитом, если бы пришлось выбрать всего одно?"
Russian,C2,what you would do if you had more free time,"Если бы у меня было больше свободного времени, что бы вы сделали в первую очередь?"
Russian,C2,your daily routine,"Не могли бы вы описать, как проходит ваш обычный день, начиная с момента пробуждения и до отхода ко сну, уделяя внимание всем деталям и переходам между различными видами деятельности?"
Russian,C2,a decision you're proud of,"Можете ли вы описать решение, которым вы особенно гордитесь, и почему именно оно имеет для вас столь большое значение?"
Russian,C2,a game you enjoy playing,"В какую игру вы бы с удовольствием погрузились, чтобы полностью отключиться от реальности?"
Russian,C2,describe something you can see around you,Что вы видите за окном прямо сейчас?
Catalan,A1,how many people are in your family,Quantes persones hi ha a la teva família?
Catalan,A1,what is the weather like,Com està el temps?
Catalan,A1,your job or studies,Què estudies?
Catalan,A1,a language you'd like to speak,Quin idioma t'agradaria parlar?
Catalan,A1,describe something you can see around you,Què hi ha a la taula?
Catalan,A1,what are your plans for today,Què fas avui?
Catalan,A1,your plans for the weekend,Què faràs aquest cap de setmana?
Catalan,A1,your favorite place to eat,On es troba el teu lloc preferit per menjar?
Catalan,A1,your hobbies,Què t'agrada fer en el teu temps lliure?
Catalan,A1,a movie or show you watched recently,Què t'ha agradat més de la pel·lícula?
Catalan,A1,something that made you happy recently,Què t'ha fet somriure ahir?
Catalan,A1,how you get around your city,Com et mous per la ciutat?
Catalan,A2,a skill you'd like to learn,Quina habilitat t'agradaria aprendre?
Catalan,A2,your favorite sport,Quin és el teu esport preferit?
Catalan,A2,your favorite music,Quina música t'agrada més escoltar?
Catalan,A2,a pet you have or would like to have,Tens un gos o un gat?
Catalan,A2,what did you do yesterday,Què vas fer ahir?
Catalan,A2,how are you today,Com estàs avui?
Catalan,A2,your favorite holiday,Quin és el teu dia festiu preferit?
Catalan,A2,your favorite way to spend a rainy day,Com prefereixes passar un dia plujós?
Catalan,A2,your typical breakfast,Què solies menjar per esmorzar quan eras petit?
Catalan,A2,your favorite app or website,Quina és la teva aplicació o lloc web preferit per aprendre coses noves?
Catalan,A2,a language you'd like to speak,Quina llengua t'agradaria aprendre a parlar?
Catalan,A2,your favorite place to eat,On a quina ciutat t'agrada més menjar?
Catalan,B1,your typical breakfast,Quin esmorzar solies fer quan eres petit?
Catalan,B1,what did you do yesterday,Què vas fer ahir?
Catalan,B1,how your city has changed over the years,Com ha canviat la teva ciutat durant els darrers vint anys?
Catalan,B1,your neighborhood,Què és el que més t'agrada del teu barri?
Catalan,B1,your favorite way to spend a rainy day,Com t'agrada passar un dia de pluja?
Catalan,B1,"what makes a good leader, in your opinion","Per a tu, quina és la qualitat més important d'un bon líder?"
Catalan,B1,a pet you have or would like to have,"Si tinguessis un gos, com el cridaries?"
Catalan,B1,a piece of advice someone gave you that stuck,Quina consell te'n vas recordar que et va donar algú?
Catalan,B1,what are your plans for today,Quins plans tens per avui?
Catalan,B1,your daily routine,Com organitzes el teu dia a dia habitualment?
Catalan,B1,something you'd like to change about your daily routine,Què t'agradaria canviar de la teva rutina diària per tenir més temps lliure?
Catalan,B1,your favorite season and why,Quina és la teva estació preferida i per què t'agrada tant?
Catalan,B2,a piece of advice someone gave you that stuck,Quin consell que et van donar recordes amb especial interès?
Catalan,B2,what is the weather like,Com és el temps avui?
Catalan,B2,"what makes a good leader, in your opinion","Segons la teva opinió, quines són les qualitats essencials d'un bon líder?"
Catalan,B2,a book you like,Quina va ser l'última novel·la que et va captivar tant que no podies deixar de llegir-la?
Catalan,B2,what you would do with an unexpected day off,Què faries si avui et donessin el dia lliure de sobte?
Catalan,B2,what you had for breakfast,Què esmorzaries si poguessis triar qualsevol cosa del món?
Catalan,B2,a decision you're proud of,Quina decisió important de la teva vida estimes més haver pres?
Catalan,B2,what are your plans for today,Quins plans teniu per avui?
Catalan,B2,your plans for the weekend,Què tens pensat fer aquest cap de setmana?
Catalan,B2,how many people are in your family,Quantes persones sou a la teva família?
Catalan,B2,your favorite music,Quina música t'agrada escoltar quan necessites relaxar-te?
Catalan,B2,a recent trip or a place you'd like to visit,Quina ha estat la teva darrera escapada de cap de setmana i què hi vas fer?
Catalan,C1,how are you today,Com et trobes avui?
Catalan,C1,your daily routine,Com organitzaries la teva rutina diària per millorar la teva productivitat si tinguessis menys de sis hores per dormir?
Catalan,C1,a pet you have or would like to have,"Si tinguessis un gos, quin tipus d'activitats faries amb ell per mantenir-lo actiu i estimulat?"
Catalan,C1,how technology has changed the way you learn,Com ha transformat la tecnologia la teva manera d'aprendre noves habilitats?
Catalan,C1,something that made you happy recently,Quina activitat recent t'ha aportat una alegria particular?
Catalan,C1,your favorite way to relax,Quina és la teva activitat preferida per desconnectar després d'una setmana intensa?
Catalan,C1,your neighborhood,Quin tipus de comerços i serveis t'agradaria trobar al teu barri per millorar la teva vida diària?
Catalan,C1,your hobbies,Quines activitats t'agrada practicar per desconnectar de la rutina diària?
Catalan,C1,what are your plans for today,Quins són els teus plans per a avui?
Catalan,C1,"what makes a good leader, in your opinion",Quines qualitats creus que són fonamentals en un bon líder en el context actual?
Catalan,C1,your favorite sport,Quin és l'esport que més t'apassiona i per què creus que té un impacte tan significatiu en la teva vida personal?
Catalan,C1,a mistake you learned something from,Quina ha estat la millor lliçó que heu après d'un error comés?
Catalan,C2,describe something you can see around you,Quina tonalitat particular de verd domina el paisatge exterior que observes ara mateix?
Catalan,C2,how many people are in your family,Quants membres componen la teva família nuclear?
Catalan,C2,what you had for breakfast,"Per esmorzar ahir, quina varietat de productes lactis degustaries?"
Catalan,C2,your favorite way to relax,Quin és el teu mètode predilecte per a desconnectar i recarregar energies després d'una setmana intensa?
Catalan,C2,your best friend,"Com descriuries la profunda connexió emocional que t'uneix a la teva millor amiga, més enllà de les paraules?"
Catalan,C2,how technology has changed the way you learn,Com ha transformat la tecnologia la teva manera d'aprendre?
Catalan,C2,your family,"Considerant les implicacions socials i culturals, quins canvis percep vostè en la dinàmica familiar contemporània respecte a generacions anteriors a Catalunya?"
Catalan,C2,what is the weather like,Com descriuries el temps d'avui amb el màxim grau de precisió i riquesa lèxica?
Catalan,C2,your favorite music,Quina peça musical t'ha emocionat més profundament recentment i per què?
Catalan,C2,a book you like,Quina obra literària us ha marcat més profundament i per què us atrau de manera tan visceral?
Catalan,C2,the last gift you gave someone,Recordes quin va ser l'últim detall que vas tenir amb algú proper i quin significat profund va tenir per a tu?
Catalan,C2,a tradition from your country you'd explain to a foreigner,Com descriuries la significació profundament arrelada de la 'castellera' com a manifestació cultural única i emblemàtica de Catalunya a algú que mai no n'ha sentit parlar?
Dutch,A1,your job or studies,Wat studeer jij?
Dutch,A1,your favorite way to relax,Wat doe je graag om te ontspannen?
Dutch,A1,how you spent last weekend,Hoe was je weekend?
Dutch,A1,something that made you happy recently,Wat maakte je blij?
Dutch,A1,what is the weather like,Hoe is het weer vandaag?
Dutch,A1,how many people are in your family,Hoeveel mensen zijn er in je familie?
Dutch,A1,a skill you'd like to learn,Wat wil je leren?
Dutch,A1,what you usually do after work or school,Wat doe je meestal na je werk of school?
Dutch,A1,your morning routine,Wat eet je 's ochtends?
Dutch,A1,your favorite holiday,Wat is je favoriete vakantie?
Dutch,A1,a language you'd like to speak,Welke taal zou je willen spreken?
Dutch,A1,your favorite type of music to relax to,Wat is je favoriete muziek om te ontspannen?
Dutch,A2,your favorite holiday,Wat is jouw favoriete vakantie?
Dutch,A2,how you get around your city,Hoe kom je door de stad?
Dutch,A2,a pet you have or would like to have,Heb je een hond of een kat?
Dutch,A2,your favorite app or website,Welke app gebruik jij het liefst om muziek te luisteren?
Dutch,A2,your best friend,Heb je een beste vriend of vriendin?
Dutch,A2,what are your plans for today,Wat ga je vandaag doen?
Dutch,A2,your favorite time of year,Wat is je favoriete seizoen?
Dutch,A2,how are you today,Hoe gaat het vandaag?
Dutch,A2,the last gift you gave someone,Wat was het laatste cadeau dat je iemand hebt gegeven?
Dutch,A2,your favorite type of music to relax to,Welk soort muziek luister je het liefst om te ontspannen?
Dutch,A2,how many people are in your family,Hoeveel mensen zijn er in jouw familie?
Dutch,A2,what you usually do after work or school,Wat doe je meestal na je werk of school?
Dutch,B1,a skill you'd like to learn,Welke vaardigheid zou je graag willen leren en waarom?
Dutch,B1,your favorite food,Wat is jouw lievelingseten?
Dutch,B1,the last gift you gave someone,Wat was het laatste cadeau dat je iemand hebt gegeven?
Dutch,B1,a piece of advice someone gave you that stuck,Wat is het beste advies dat je ooit hebt gekregen?
Dutch,B1,a game you enjoy playing,Welk spelletje speel jij graag in je vrije tijd?
Dutch,B1,a decision you're proud of,Waarom ben je zo trots op die ene beslissing?
Dutch,B1,a tradition from your country you'd explain to a foreigner,Wat is de betekenis van Sinterklaas voor kinderen in Nederland?
Dutch,B1,describe something you can see around you,Wat zie je op dit moment om je heen?
Dutch,B1,your favorite app or website,Welke app gebruik je het liefst om nieuws te lezen?
Dutch,B1,something you'd like to change about your daily routine,Wat zou je graag aan je dagelijkse routine willen veranderen?
Dutch,B1,what did you do yesterday,Wat heb je gisteren gedaan?
Dutch,B1,how you get around your city,Hoe kom jij meestal door de stad?
Dutch,B2,what you would do with an unexpected day off,Wat zou je doen met een onverwachte vrije dag?
Dutch,B2,a piece of advice someone gave you that stuck,Wat is een stukje advies dat je ooit kreeg en dat je altijd is bijgebleven?
Dutch,B2,your daily routine,Wat doe je meestal als je 's ochtends wakker wordt?
Dutch,B2,how you'd describe your ideal weekend to a friend,Hoe zou jij je ideale weekend omschrijven aan een vriend?
Dutch,B2,your favorite way to relax,Wat is jouw favoriete manier om te ontspannen na een lange dag?
Dutch,B2,your favorite time of year,Wat is jouw favoriete jaargetijde en waarom?
Dutch,B2,your favorite color and why,Wat is jouw lievelingskleur en waarom?
Dutch,B2,what are your plans for today,Wat zijn je plannen voor vandaag?
Dutch,B2,what you usually do after work or school,Wat doe je meestal na je werk of school?
Dutch,B2,your typical breakfast,Wat eet jij doorgaans als ontbijt?
Dutch,B2,a decision you're proud of,Waarom ben je trots op de beslissing om destijds naar het buitenland te verhuizen?
Dutch,B2,how technology has changed the way you learn,Hoe heeft technologie je leerproces veranderd?
Dutch,C1,your favorite way to relax,Wat is je favoriete manier om tot rust te komen na een drukke week?
Dutch,C1,how you spent last weekend,Hoe heb je afgelopen weekend besteed?
Dutch,C1,your favorite type of music to relax to,Welk genre muziek vind jij het prettigst om tot rust te komen?
Dutch,C1,what your life might look like in five years,Hoe zou je leven er over vijf jaar uit kunnen zien?
Dutch,C1,a language you'd like to speak,Welke taal zou u graag vloeiend willen spreken en waarom?
Dutch,C1,something you'd like to change about your daily routine,Welke kleine aanpassing zou je vandaag nog willen maken in je dagelijkse routine om je energieker te voelen?
Dutch,C1,your morning routine,"Hoe begin jij doorgaans de dag, naast het zetten van koffie?"
Dutch,C1,how you get around your city,Hoe verplaats jij je het liefst door de stad en waarom?
Dutch,C1,a tradition from your country you'd explain to a foreigner,"Kunt u de traditie van Sinterklaas en zijn Pieten, zoals die in Nederland gevierd wordt, aan een buitenlander uitleggen?"
Dutch,C1,how technology has changed the way you learn,Hoe heeft technologie jouw leerproces beïnvloed?
Dutch,C1,what you usually do after work or school,Wat doe je meestal om te ontspannen na een lange werk- of schooldag?
